LocalTime,Symbol,EventType,Side,FillSize,FillPrice,FillExchange,SymbolBought,SymbolSold,SymbolPosition,SymbolNotional,ExchangeBought,ExchangeSold,TotalBought,TotalSold,TotalBoughtNotional,TotalSoldNotional
9:30:00.000,AES,TRADE,t,100,11.14,NYSE,0,100,-100,1114.00,0,100,0,100,0.00,1114.00
9:30:01.000,AES,TRADE,b,100,11.16,NASDAQ,100,100,0,1116.00,100,0,100,100,1116.00,1114.00
9:30:02.000,CX,TRADE,b,100,7.50,NASDAQ,100,0,100,750.00,200,0,200,100,1866.00,1114.00
9:30:03.000,CX,TRADE,t,100,7.51,NASDAQ,100,100,0,751.00,200,100,200,200,1866.00,1865.00
9:30:04.000,CX,TRADE,b,200,7.50,NASDAQ,300,100,200,1500.00,400,100,400,200,3366.00,1865.00
9:30:05.000,CX,TRADE,t,100,7.50,NASDAQ,300,200,100,750.00,400,200,400,300,3366.00,2615.00
9:30:06.000,CX,TRADE,t,200,7.48,NASDAQ,300,400,-100,1496.00,400,400,400,500,3366.00,4111.00
9:30:07.000,AIG,TRADE,t,100,56.40,NASDAQ,0,100,-100,5640.00,400,500,400,600,3366.00,9751.00
9:30:08.000,AIG,TRADE,t,100,56.39,NYSE,0,200,-200,5639.00,0,200,400,700,3366.00,15390.00
9:30:09.000,AIG,TRADE,b,100,56.38,NASDAQ,100,200,-100,5638.00,500,500,500,700,9004.00,15390.00
9:30:10.000,AIG,TRADE,b,100,56.38,NASDAQ,200,200,0,5638.00,600,500,600,700,14642.00,15390.00
9:30:11.000,AIG,TRADE,t,100,56.72,NASDAQ,200,300,-100,5672.00,600,600,600,800,14642.00,21062.00
